Year,Month,Monthly_Anomaly,Monthly_Unc,Annual_Anomaly,Annual_Unc,FiveYear_Anomaly,FiveYear_Unc,TenYear_Anomaly,TenYear_Unc,TwentyYear_Anomaly,TwentyYear_Unc
1850,1,-0.753,0.365,,,,,,,,
1850,2,-0.202,0.416,,,,,,,,
1850,3,-0.367,0.373,,,,,,,,
1850,4,-0.596,0.324,,,,,,,,
1850,5,-0.619,0.267,,,,,,,,
1850,6,-0.332,0.308,-0.436,0.17,,,,,,
1850,7,-0.151,0.249,-0.386,0.176,,,,,,
1850,8,-0.149,0.341,-0.403,0.166,,,,,,
1850,9,-0.416,0.237,-0.418,0.172,,,,,,
1850,10,-0.59,0.237,-0.421,0.187,,,,,,
1850,11,-0.572,0.317,-0.396,0.2,,,,,,
1850,12,-0.481,0.312,-0.389,0.195,,,,,,
1851,1,-0.159,0.389,-0.392,0.194,,,,,,
1851,2,-0.402,0.351,-0.405,0.191,,,,,,
1851,3,-0.55,0.331,-0.402,0.196,,,,,,
1851,4,-0.626,0.45,-0.365,0.211,,,,,,
1851,5,-0.326,0.445,-0.349,0.235,,,,,,
1851,6,-0.24,0.217,-0.321,0.259,,,,,,
1851,7,-0.198,0.221,-0.327,0.275,,,,,,
1851,8,-0.295,0.282,-0.336,0.29,,,,,,
1851,9,-0.387,0.295,-0.351,0.3,,,,,,
1851,10,-0.144,0.352,-0.342,0.288,,,,,,
1851,11,-0.377,0.438,-0.327,0.285,,,,,,
1851,12,-0.145,0.409,-0.315,0.294,,,,,,
1852,1,-0.239,0.515,-0.301,0.296,,,,,,
1852,2,-0.506,0.458,-0.304,0.286,,,,,,
1852,3,-0.725,0.447,-0.297,0.285,,,,,,
1852,4,-0.526,0.359,-0.298,0.271,,,,,,
1852,5,-0.146,0.426,-0.311,0.266,,,,,,
1852,6,-0.099,0.299,-0.292,0.249,-0.325,0.173,,,,
1852,7,-0.02,0.24,-0.294,0.242,-0.314,0.177,,,,
1852,8,-0.336,0.236,-0.281,0.241,-0.312,0.171,,,,
1852,9,-0.299,0.255,-0.254,0.222,-0.31,0.169,,,,
1852,10,-0.162,0.232,-0.233,0.231,-0.302,0.163,,,,
1852,11,-0.536,0.366,-0.242,0.225,-0.295,0.163,,,,
1852,12,0.087,0.33,-0.247,0.224,-0.295,0.161,,,,
1853,1,-0.266,0.445,-0.242,0.213,-0.298,0.16,,,,
1853,2,-0.346,0.496,-0.217,0.212,-0.3,0.156,,,,
1853,3,-0.396,0.257,-0.225,0.204,-0.301,0.154,,,,
1853,4,-0.273,0.445,-0.251,0.217,-0.296,0.155,,,,
1853,5,-0.263,0.323,-0.26,0.196,-0.293,0.156,,,,
1853,6,-0.16,0.291,-0.295,0.196,-0.294,0.155,,,,
1853,7,0.05,0.178,-0.318,0.172,-0.291,0.155,,,,
1853,8,-0.043,0.211,-0.338,0.164,-0.29,0.161,,,,
1853,9,-0.393,0.207,-0.328,0.165,-0.288,0.159,,,,
1853,10,-0.47,0.319,-0.334,0.14,-0.284,0.154,,,,
1853,11,-0.65,0.321,-0.335,0.133,-0.284,0.15,,,,
1853,12,-0.324,0.276,-0.36,0.129,-0.282,0.149,,,,
1854,1,-0.547,0.351,-0.377,0.131,-0.283,0.148,,,,
1854,2,-0.584,0.374,-0.389,0.133,-0.287,0.149,,,,
1854,3,-0.276,0.282,-0.377,0.133,-0.292,0.15,,,,
1854,4,-0.349,0.233,-0.328,0.128,-0.301,0.147,,,,
1854,5,-0.278,0.22,-0.293,0.135,-0.304,0.142,,,,
1854,6,-0.456,0.195,-0.283,0.13,-0.309,0.137,,,,
1854,7,-0.156,0.205,-0.242,0.148,-0.313,0.135,,,,
1854,8,-0.182,0.234,-0.202,0.135,-0.314,0.131,,,,
1854,9,-0.248,0.211,-0.201,0.133,-0.312,0.126,,,,
1854,10,0.115,0.266,-0.178,0.127,-0.317,0.124,,,,
1854,11,-0.236,0.331,-0.174,0.128,-0.327,0.122,,,,
1854,12,-0.203,0.368,-0.163,0.124,-0.335,0.121,-0.34,0.129,,
1855,1,-0.05,0.457,-0.18,0.125,-0.342,0.121,-0.336,0.13,,
1855,2,-0.105,0.45,-0.184,0.123,-0.344,0.123,-0.337,0.129,,
1855,3,-0.262,0.27,-0.203,0.12,-0.347,0.122,-0.34,0.13,,
1855,4,-0.082,0.325,-0.238,0.125,-0.353,0.123,-0.337,0.128,,
1855,5,-0.221,0.294,-0.25,0.123,-0.353,0.121,-0.334,0.127,,
1855,6,-0.324,0.192,-0.278,0.12,-0.358,0.121,-0.332,0.125,,
1855,7,-0.359,0.219,-0.271,0.12,-0.357,0.119,-0.333,0.123,,
1855,8,-0.235,0.227,-0.295,0.13,-0.359,0.114,-0.334,0.121,,
1855,9,-0.468,0.201,-0.307,0.133,-0.358,0.114,-0.333,0.12,,
1855,10,-0.306,0.287,-0.334,0.144,-0.358,0.11,-0.331,0.12,,
1855,11,-0.387,0.257,-0.343,0.139,-0.36,0.107,-0.331,0.121,,
1855,12,-0.54,0.339,-0.326,0.14,-0.362,0.107,-0.334,0.123,,
1856,1,0.034,0.364,-0.316,0.139,-0.368,0.108,-0.341,0.125,,
1856,2,-0.386,0.57,-0.339,0.154,-0.373,0.108,-0.343,0.126,,
1856,3,-0.406,0.245,-0.359,0.171,-0.374,0.109,-0.343,0.125,,
1856,4,-0.406,0.228,-0.39,0.166,-0.371,0.107,-0.342,0.121,,
